temperature,energy1,energy2,energy3,energy4,energy5,capacity1,capacity2,capacity3,capacity4,capacity5,orderParm1,orderParm2,orderParm3,orderParm4,orderParm5,binderratio1,binderratio2,binderratio3,binderratio4,binderratio5,gsop,acpt_rat,avg_len,sizeOfSample,shuffle_timestep,mcstp,loop_timestep,mid_term,Energy_per_star,k_B,date
0.1, -0.3333333333333333, -0.3333333333333333, -0.3333333333333333, -0.3333333333333333, -0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, (1+0j), (1+0j), (1+0j), (1+0j), (1+0j), 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, (1+0j), 0.0, 6.442746875, 48, 100, 2304, 5000, 1, -1, 1,05-21_02_36
0.2, -0.33332942708333335, -0.3333333333333333, -0.3333333333333333, -0.3333333333333333, -0.33333203125, 0.00029208984339372057, 0.0, 0.0, 0.0, 9.755859385525884e-05, (0.9999921875000001+0j), (1+0j), (1+0j), (1+0j), (0.9999973958333332+0j), 0.6666666396908536, 0.6666666666666667, 0.6666666666666667, 0.6666666666666667, 0.6666666576568785, (1+0j), 2.2569444444444443e-06, 6.442349652777778, 48, 100, 2304, 5000, 1, -1, 1,05-21_02_36
0.25, -0.33332942708333335, -0.33332682291666665, -0.33332682291666665, -0.33332812500000003, -0.3333012152777778, 0.00018693749977198118, 0.00043593749998965196, 0.0003109374997115487, 0.00024899999940923106, 0.0023230833329661335, (0.9999856770833333-2.2552744890219758e-06j), (0.9999674479166667-6.7658234670659265e-06j), (0.99998046875-2.2552744890219758e-06j), (0.9999830729166668-2.2552744890219758e-06j), (0.9999088541666667+4.5105489780439515e-06j), 0.6666665391948673, 0.6666661057110437, 0.6666665213874414, 0.6666665302822277, 0.666665861412303, (1+0j), 3.984375e-05, 6.442988020833333, 48, 100, 2304, 5000, 1, -1, 1,05-21_02_36
0.3, -0.3325416666666667, -0.33328255208333335, -0.33326215277777776, -0.333265625, -0.33328515625, 0.05890733024651486, 0.0016266927076809047, 0.0026962962962258003, 0.002313194444367481, 0.0016332899301715648, (0.9958723958333333+0.001023894618015977j), (0.9998203125-2.7063293868263706e-05j), (0.9997356770833333-3.3829117335329635e-05j), (0.9997018229166668-5.638186222554939e-05j), (0.9997994791666668-3.608439182435161e-05j), 0.6665675144043287, 0.666665148443243, 0.666664222666898, 0.6666637146506522, 0.6666647558183971, (1+0j), 0.0007984375, 6.44124375, 48, 100, 2304, 5000, 1, -1, 1,05-21_02_36
0.35, -0.33306293402777776, -0.33308072916666664, -0.33312413194444446, -0.3331046006944444, -0.32769053819444444, 0.006451498724708557, 0.006920620748248426, 0.005079634353691922, 0.005630920493625245, 0.6781568842121661, (0.9988424479166668-0.0002142510764570877j), (0.9989244791666667-0.00019395360605588987j), (0.9991171875-0.00016237976320958221j), (0.9990013020833333-0.00018718778258882397j), (0.9409166666666665+0.024532875891581048j), 0.6666554439449023, 0.666655140906703, 0.666657647343804, 0.6666564877481486, 0.6582879649947818, (1+0j), 0.005851388888888889, 6.432615277777778, 48, 100, 2304, 5000, 1, -1, 1,05-21_02_36
0.4, -0.32877517361111114, -0.33274869791666667, -0.33277734375, -0.33268880208333335, -0.3328441840277778, 0.6948187825517809, 0.011378556315043573, 0.010351668294106274, 0.01210876464862546, 0.009057267252564491, (0.3691822916666667+0.3559274198574481j), (-0.49826692708333337+0.8640249753126759j), (-0.4983971354166667+0.8641602917820171j), (-0.49816666666666665+0.8638603402749773j), (-0.4985807291666666+0.8643700323094962j), 0.652435608488208, 0.6666382747554924, 0.6666422962130758, 0.6666371828911362, 0.6666458415219034, (1+0j), 0.06423454861111111, 6.157204861111111, 48, 100, 2304, 5000, 1, -1, 1,05-21_02_36
0.45, -0.32609375, -0.3320946180555555, -0.3319817708333333, -0.3320868055555556, -0.3320121527777778, 0.9775668724277811, 0.019664531893186527, 0.018820739026040548, 0.01986371742093203, 0.02032335390942562, (-0.12478255208333332+0.6363820789397757j), (-0.4963255208333333+0.861767445549165j), (-0.4958697916666666+0.861266774612602j), (-0.49637890625000003+0.8617967641175222j), (-0.4960807291666666+0.8614517071207017j), 0.6229393534969883, 0.6666065450851472, 0.6666036853776113, 0.6666065380485597, 0.6666045731570905, (1+0j), 0.07196944444444445, 6.143923958333334, 48, 100, 2304, 5000, 1, -1, 1,05-21_02_36
0.5, -0.3267591145833333, -0.3307243923611111, -0.3306206597222222, -0.33071223958333335, -0.33057335069444443, 0.6608044982640422, 0.03429666493058095, 0.034908854166739424, 0.03163798437486144, 0.0361564565973822, (-0.2764453125+0.7249219001042897j), (-0.492046875+0.8567742678304703j), (-0.4919921875+0.8566840568509094j), (-0.49223697916666664+0.8569546897895921j), (-0.49169921875+0.856320957658177j), 0.6400141783352183, 0.6665245642137045, 0.6665231426638978, 0.6665373486891525, 0.6665314369734188, (1+0j), 0.07585737847222222, 6.152656597222222, 48, 100, 2304, 5000, 1, -1, 1,05-21_03_46
0.55, -0.3257521701388889, -0.32869921874999997, -0.3285633680555555, -0.3286332465277778, -0.32848177083333335, 0.48041338240348275, 0.052273690025276695, 0.05107595844819156, 0.05057070563583846, 0.05106220730037117, (-0.3345768229166666+0.7562905129720963j), (-0.4861770833333333+0.8497378114247218j), (-0.4854036458333334+0.8491108451167738j), (-0.4855572916666666+0.8492642037820272j), (-0.4855390625+0.8490928029208616j), 0.6469475696646038, 0.666421577797889, 0.6663993170701755, 0.6663944502777255, 0.666407242288581, (1+0j), 0.08186467013888889, 6.16784375, 48, 100, 2304, 5000, 1, -1, 1,05-21_03_46
0.6, -0.32422656250000004, -0.32551736111111107, -0.3253276909722222, -0.32545920138888884, -0.32537456597222225, 0.23721025752309532, 0.07463823302487071, 0.06523796175742187, 0.07416068190602829, 0.07759142433446925, (-0.4140963541666666+0.7994542114174878j), (-0.47579557291666663+0.8378412384951309j), (-0.47573828125+0.8375435422625801j), (-0.475390625+0.8375277553411568j), (-0.47544140625000003+0.8374082257932387j), 0.6586287708693062, 0.6661790158437595, 0.6662276289182825, 0.666151843184974, 0.6661398270190912, (1+0j), 0.09054001736111111, 6.196924479166666, 48, 100, 2304, 5000, 1, -1, 1,05-21_03_46
0.65, -0.3192408854166666, -0.32124869791666666, -0.3212669270833333, -0.3215, -0.32115842013888884, 0.34327029811813103, 0.09769513375243656, 0.09313506636268437, 0.0909869165023542, 0.09766847366045543, (-0.36748177083333333+0.762418093758769j), (-0.46145703125+0.8212739920987755j), (-0.46144140625+0.8215220722925679j), (-0.462984375+0.822872981711492j), (-0.46194140625+0.8215626672333703j), 0.6530493653552059, 0.6657254022292993, 0.6658202257857772, 0.6659242979570424, 0.665845488334079, (1+0j), 0.10366458333333334, 6.237042013888889, 48, 100, 2304, 5000, 1, -1, 1,05-21_03_46
0.86, -0.2885008680555556, -0.2883776041666667, -0.2881310763888889, -0.288546875, -0.28848567708333334, 0.1946303346215294, 0.1970553691747673, 0.22758799566954588, 0.20968814787271278, 0.1968504694494577, (-0.32605729166666664+0.6596362141960815j), (-0.3445963541666666+0.6659915777061456j), (-0.3459309895833334+0.6489529789415844j), (-0.34813541666666664+0.666970366834381j), (-0.34475520833333334+0.671165177383962j), 0.655037725958261, 0.6572949208147965, 0.6512100175457975, 0.6564647902204805, 0.6582073398153305, (1+0j), 0.20810034722222223, 6.5605654513888885, 48, 100, 2304, 5000, 1, -1, 1,05-21_03_46
0.88, -0.2846150173611111, -0.28418229166666664, -0.2838845486111111, -0.28397916666666667, -0.2825716145833333, 0.20830754668038137, 0.20923819157486262, 0.2223322424349808, 0.204620252597003, 0.2553415990292123, (-0.31243229166666664+0.6408452671535504j), (-0.33065104166666665+0.6450896937418898j), (-0.3283138020833334+0.6174558154279036j), (-0.32596354166666663+0.6404528493924606j), (-0.3322890625+0.574188374356017j), 0.6532671381000643, 0.6559928328691143, 0.6459055797898772, 0.6549200743371075, 0.6339850168522986, (1+0j), 0.22344019097222223, 6.612096006944444, 48, 100, 2304, 5000, 1, -1, 1,05-21_03_46
0.89, -0.2813967013888889, -0.2810282118055556, -0.2824422743055555, -0.28289930555555554, -0.28111458333333333, 0.22018197714587465, 0.23166150666211996, 0.22321936884988386, 0.18540180637970183, 0.22339124023342322, (-0.3017447916666666+0.6190232311977738j), (-0.32164583333333335+0.6007419761897618j), (-0.3162565104166667+0.632169226194283j), (-0.3251341145833333+0.6398777543977601j), (-0.31411588541666663+0.6214521618224506j), 0.6509873439943722, 0.6445965706675205, 0.6512688612598814, 0.656303491721237, 0.6511206606678757, (1+0j), 0.2307415798611111, 6.632405208333333, 48, 100, 2304, 5000, 1, -1, 1,05-21_03_46
0.91, -0.27759375000000003, -0.27660590277777775, -0.2776388888888889, -0.27821527777777777, -0.27724782986111113, 0.21654439043862017, 0.21929173543187996, 0.20190106367993818, 0.19973450770836423, 0.20637633452666268, (-0.2956966145833333+0.5897249603108894j), (-0.30146875+0.5748739778006795j), (-0.30952994791666666+0.5968741804410891j), (-0.31672135416666664+0.5908323000849991j), (-0.30643098958333337+0.5922057622488136j), 0.6466666289145442, 0.6432520075069068, 0.6485173024156197, 0.64642954916479, 0.6468354720485526, (1+0j), 0.24506909722222223, 6.6796810763888885, 48, 100, 2304, 5000, 1, -1, 1,05-21_04_58
0.92, -0.2737986111111111, -0.27266710069444444, -0.2733893229166667, -0.2755338541666667, -0.27660807291666667, 0.2373665179977927, 0.24427824575241555, 0.25388198413460755, 0.20188091352589294, 0.19546119707569998, (-0.27042578125+0.39301089828043656j), (-0.3000078125+0.43238573558427124j), (-0.2977877604166667+0.40449475597853646j), (-0.2916223958333334+0.5820998772635061j), (-0.29612369791666665+0.5993685140259474j), 0.6279447743346632, 0.6192187708323951, 0.6153216918046839, 0.6453085401144181, 0.6494429614032784, (1+0j), 0.2516638888888889, 6.730104166666667, 48, 100, 2304, 5000, 1, -1, 1,05-21_04_58
0.93, -0.27158072916666665, -0.27345703125, -0.27096397569444447, -0.27029774305555554, -0.2693498263888889, 0.2513851934552583, 0.20368492293187548, 0.24752801333404545, 0.23045738067023988, 0.2228136100352238, (-0.264234375+0.4420969475339998j), (-0.2914661458333333+0.5616445376480768j), (-0.28294401041666667+0.4054600134598378j), (-0.2886822916666667+0.2172956970172673j), (-0.2850247395833333+0.36988080312102717j), 0.6196119217708442, 0.6422076279512903, 0.6223614432570821, 0.6122478283504872, 0.6098030717781371, (1+0j), 0.2600981770833333, 6.781368576388889, 48, 100, 2304, 5000, 1, -1, 1,05-21_04_58
0.94, -0.2706115451388889, -0.2681584201388889, -0.2716883680555556, -0.2705325520833333, -0.2680134548611111, 0.2124446506518341, 0.2876747659315231, 0.20169869119696335, 0.19405145724481618, 0.2601356936074224, (-0.2585286458333333+0.4829895845689463j), (-0.25511328125+0.2756915193615134j), (-0.28882161458333333+0.5531353870009968j), (-0.29523697916666664+0.51540238952517j), (-0.2666848958333333+0.3579210825057436j), 0.6276578226604205, 0.5934322266013305, 0.6413846047902702, 0.6331671782312588, 0.6035483157327538, (1+0j), 0.26755399305555555, 6.7827508680555555, 48, 100, 2304, 5000, 1, -1, 1,05-21_04_58
0.96, -0.2674053819444444, -0.26482508680555555, -0.26603776041666666, -0.2665815972222222, -0.2660629340277778, 0.22230906357000052, 0.21583102708978413, 0.21469709561193365, 0.21651863003958866, 0.20179415055261907, (-0.24229557291666667+0.4926263724605372j), (-0.2696171875+0.3099784574181144j), (-0.24309374999999997+0.414510429984283j), (-0.2685481770833334+0.3521227717944681j), (-0.25231510416666664+0.4267926548514967j), 0.6322479291493751, 0.6014680129390957, 0.6201725379263017, 0.6154414472576308, 0.624911740858203, (1+0j), 0.2801126736111111, 6.827754513888889, 48, 100, 2304, 5000, 1, -1, 1,05-21_04_58
0.97, -0.26379861111111114, -0.26213888888888887, -0.2646028645833333, -0.2632170138888889, -0.26509374999999996, 0.1812476455757518, 0.1879300034836643, 0.19302818029945748, 0.20330144158666097, 0.18426775191604022, (-0.25424609374999996+0.33974131484973746j), (-0.2617786458333333+0.20299274620788998j), (-0.2599036458333333+0.41571925711039875j), (-0.26749088541666666+0.1757016696162351j), (-0.2706328125+0.33493532491363165j), 0.6173415684748866, 0.5936814661755268, 0.6202674903588014, 0.6003808122000949, 0.6210535590918305, (1+0j), 0.2845717013888889, 6.88205625, 48, 100, 2304, 5000, 1, -1, 1,05-21_04_58
0.98, -0.26193619791666667, -0.2608815104166667, -0.2631540798611111, -0.2635290798611111, -0.26288411458333333, 0.1829587059898515, 0.1955492896297313, 0.2085731924306501, 0.1948206978103622, 0.18595576450714674, (-0.24087890625+0.380742205060157j), (-0.2496901041666667+0.20304236224664846j), (-0.2493528645833333+0.42354280431281605j), (-0.25079166666666663+0.4894937961952857j), (-0.2641783854166667+0.42125144543196974j), 0.6138163681493392, 0.5931701245582328, 0.612272510306348, 0.6279023279444962, 0.6234836073894052, (1+0j), 0.29391657986111114, 6.871306076388889, 48, 100, 2304, 5000, 1, -1, 1,05-21_04_58
1.02, -0.2549327256944445, -0.2554826388888889, -0.2540238715277778, -0.2556627604166667, -0.25544227430555555, 0.1773947849752025, 0.17251084652271229, 0.1639266510576921, 0.16625583000593747, 0.1556044145514375, (-0.22543359375+0.232651861013018j), (-0.24132161458333334+0.26361226919831166j), (-0.22959244791666664+0.13469175830785945j), (-0.23182682291666667+0.21671609147358875j), (-0.2304505208333333+0.30074085311108045j), 0.5939030555844433, 0.5846835802148908, 0.5855837669686415, 0.5980517033035763, 0.6086828641791111, (1+0j), 0.31762690972222224, 6.978555208333334, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.04, -0.2521501736111111, -0.25237934027777775, -0.2525776909722222, -0.25153689236111115, -0.25173263888888886, 0.15853245160207496, 0.15444971409385216, 0.16128902357556066, 0.15235928727948655, 0.14180699375413183, (-0.21002473958333331+0.2726920042911141j), (-0.223390625+0.2606375621472917j), (-0.218046875+0.27508033997498843j), (-0.22861197916666667+0.20627191531492792j), (-0.24063281250000002+0.18984449593689187j), 0.5944771939694629, 0.6016853605367615, 0.5938494051318502, 0.5874574810321715, 0.5937601232062569, (1+0j), 0.3308640625, 7.011725868055556, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.06, -0.24842664930555555, -0.24845095486111113, -0.24868185763888886, -0.24799392361111114, -0.24978949652777777, 0.151412334346327, 0.14687461333051421, 0.15732758752561224, 0.15052957723930216, 0.16790021370730177, (-0.19045312499999997+0.25869351553775477j), (-0.18451041666666665+0.24539190660150315j), (-0.19341015625+0.2345508021327745j), (-0.19827734375+0.15027119447802326j), (-0.19235416666666666+0.24773739207008597j), 0.5756138499534917, 0.5754630363223554, 0.570269641878158, 0.5603793604835634, 0.5826413776717089, (1+0j), 0.3445786458333333, 7.043506944444444, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.08, -0.24688194444444445, -0.24652604166666667, -0.24588845486111113, -0.24692968750000002, -0.24568098958333331, 0.13821542543055826, 0.14112748985483112, 0.13863409515924763, 0.1430120500756925, 0.13157568418912552, (-0.2084427083333333+0.21533811876079628j), (-0.23027604166666668+0.18978134825119927j), (-0.17450260416666666+0.18959641574309943j), (-0.20305859375+0.2345913970735769j), (-0.18835807291666667+0.17884101170495365j), 0.5866744885922539, 0.5781509316201756, 0.567922279196142, 0.5842485422447435, 0.5729413857686243, (1+0j), 0.3551493923611111, 7.0778359375, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.12, -0.24104644097222222, -0.24113194444444444, -0.24234635416666667, -0.24212890625, -0.2417443576388889, 0.10995094455019806, 0.11610498268318409, 0.12062818185543388, 0.1265485681373757, 0.11662163040262029, (-0.18202604166666667+0.16423810938853634j), (-0.20036197916666662+0.09646260044444793j), (-0.19107682291666667+0.24953484583783653j), (-0.19755989583333336+0.18851839453734695j), (-0.19319921875+0.1331762138512367j), 0.5661293689898688, 0.5875082511834916, 0.5730683477997299, 0.5711397936094009, 0.5863302392157309, (1+0j), 0.37498203125, 7.142358506944444, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.2, -0.23401649305555555, -0.23393706597222222, -0.23325086805555553, -0.23341319444444444, -0.23265321180555557, 0.09864177155671673, 0.09657628008054814, 0.09722038363232993, 0.10455166859567258, 0.08924874342929913, (-0.1643294270833333+0.1918900298984348j), (-0.15519270833333332+0.18031370594628499j), (-0.1419075520833333+0.13968944657553214j), (-0.15853776041666667+0.16403287941003536j), (-0.14646484375+0.13235078338825465j), 0.5647287474628557, 0.576779744466847, 0.5528556066447357, 0.5691988362055507, 0.570098834501336, (1+0j), 0.41505286458333335, 7.2344796875, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.3, -0.22466102430555557, -0.22521614583333335, -0.22539800347222222, -0.22501692708333332, -0.2250785590277778, 0.07896065473988258, 0.0809150014381892, 0.07857662285296865, 0.07248938789244358, 0.07883573692267348, (-0.10106119791666666+0.10615351492377537j), (-0.1371067708333333+0.11003935286836022j), (-0.12822526041666665+0.09695650555754375j), (-0.1359765625+0.11279078774496705j), (-0.11229947916666666+0.14037730529468384j), 0.5392604017764666, 0.5554381048628905, 0.5689874486086866, 0.5623286425043031, 0.5609866104350778, (1+0j), 0.4573125, 7.341813368055556, 48, 100, 2304, 5000, 1, -1, 1,05-21_06_13
1.4, -0.21745442708333332, -0.21626605902777776, -0.21667925347222222, -0.21645963541666668, -0.2157808159722222, 0.0640972166861564, 0.059112428916880844, 0.05881044478989867, 0.05490235947242619, 0.06086657609658789, (-0.0746484375+0.10887112068304686j), (-0.053053385416666675+0.10411023623672146j), (-0.04603776041666666+0.09832320189789105j), (-0.03538671874999999+0.09932003322203878j), (-0.03714973958333333+0.08572072805323626j), 0.43230689803583167, 0.4392008172688763, 0.45013819213419415, 0.41363415080991395, 0.3829054349798139, (1+0j), 0.5000193576388889, 7.417916840277778, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
1.5, -0.21372829861111112, -0.2135746527777778, -0.21273654513888887, -0.2106076388888889, -0.21356770833333333, 0.057090875771600734, 0.05339549074073777, 0.05396141493055898, 0.04910694444444384, 0.051030941358021664, (-0.0968515625+0.11055355545185726j), (-0.11316796874999999+0.12522862655192324j), (-0.097453125+0.09561010668759763j), (-0.039151041666666664+0.08279112649199673j), (-0.09999869791666666+0.11539111923080937j), 0.5493143616934952, 0.5513986709599852, 0.5350636128017188, 0.4299296152933484, 0.5432836489760231, (1+0j), 0.5255417534722222, 7.499776215277778, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
1.6, -0.2086193576388889, -0.208078125, -0.20810503472222222, -0.20767100694444443, -0.20787586805555558, 0.050505357360844064, 0.04827173122830232, 0.04473594224717972, 0.049137594265408806, 0.047303786214186114, (-0.08376953125+0.11136770954239418j), (-0.07675781250000001+0.08812259538404467j), (-0.09153385416666666+0.10385087967048393j), (-0.08340104166666666+0.08664313531924625j), (-0.08979036458333332+0.09893663655890504j), 0.5239868140639696, 0.49588419985178744, 0.5279581109825042, 0.5225293418618906, 0.5332539085986003, (1+0j), 0.5529480034722222, 7.568466319444444, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
1.7, -0.20310503472222222, -0.20330555555555554, -0.20395442708333333, -0.20431467013888888, -0.20373697916666667, 0.03957520605055529, 0.042667625432529055, 0.04085884620698867, 0.042917976108951594, 0.03766909061418397, (-0.0456875+0.0830662699796574j), (-0.05529557291666666+0.08170182891379911j), (-0.08325130208333333+0.08691602353241791j), (-0.08037109375+0.09463808338282916j), (-0.0621484375+0.08523584403809654j), 0.3626015301524862, 0.45599504593183693, 0.5251211738501358, 0.5146892877618583, 0.4552358058696674, (1+0j), 0.5790964409722222, 7.625359722222222, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
1.8, -0.20063628472222222, -0.20085416666666667, -0.20057465277777778, -0.20062543402777777, -0.20015190972222222, 0.03441106770832983, 0.03700223122428407, 0.03489939986282252, 0.03652597187393256, 0.03677012334962511, (-0.05789973958333333+0.09061467369441394j), (-0.08854296875+0.08937878327442991j), (-0.06491406250000001+0.08636348128260753j), (-0.07136197916666666+0.08123949764354961j), (-0.05013671875+0.08179655044233804j), 0.5068950867128605, 0.5256904519145236, 0.49748241988021435, 0.49275829700242446, 0.4557009230474618, (1+0j), 0.6006947048611111, 7.6819515625, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
1.9, -0.1972560763888889, -0.19710807291666665, -0.19753645833333333, -0.19729296875, -0.19739800347222222, 0.02985119411742117, 0.03193629662492422, 0.032639685287778594, 0.030168420932406053, 0.03263828473664835, (-0.05467057291666667+0.08085835625490488j), (-0.05064192708333333+0.08022687939797873j), (-0.05871744791666667+0.07573437261584695j), (-0.07233463541666665+0.08386238187428216j), (-0.07356901041666666+0.08301439866640987j), 0.5004399474555516, 0.4375130180991176, 0.48978381450546393, 0.4985081960485491, 0.5169804165430543, (1+0j), 0.6208524305555555, 7.726163020833333, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
7.0, -0.15851605902777777, -0.1586662326388889, -0.15841449652777778, -0.15887413194444444, -0.15904210069444444, 0.0019119557734552318, 0.0019902167570152746, 0.001989006085246345, 0.0019834882015309077, 0.002000491700325963, (-0.015647135416666666+0.0346162081319983j), (-0.012041666666666668+0.03500186006962106j), (-0.013841145833333332+0.03415387686174879j), (-0.014546875+0.03639561970383664j), (-0.014427083333333333+0.03563784747552525j), 0.3661384891999282, 0.36800653603175015, 0.3729890141036768, 0.3792519741701358, 0.3867070949259228, (1+0j), 0.8955889756944444, 8.408624652777778, 48, 100, 2304, 5000, 1, -1, 1,05-21_07_34
